0.694,38,7,1,-2,-1,3,1,7,-1,14,9,0,0,0,0,0,6,
0.710,39,5,1,-2,-1,-1,0,5,-1,10,4,0,0,0,0,0,7,
0.727,40,-2,1,-5,0,-1,0,12,2,8,1,0,0,0,0,0,6,
0.744,41,-7,3,-4,0,2,0,10,7,8,-1,0,0,0,0,0,6,
0.760,42,-8,2,-5,0,5,3,12,1,11,8,0,0,0,0,0,7,
0.777,43,-9,1,-8,0,0,2,9,0,11,7,0,0,0,0,0,6,
0.794,44,-7,1,-10,-1,-3,0,5,2,11,9,0,0,0,0,0,7,
0.810,45,-2,0,-9,0,-2,0,-1,0,8,5,0,0,0,0,0,6,
0.827,46,-3,0,-9,0,-1,-3,-1,0,10,0,0,0,0,0,0,6,
0.844,47,0,0,-11,0,2,0,0,3,10,3,0,0,0,0,0,7,
0.860,48,1,2,-8,0,0,-1,0,2,8,6,0,0,0,0,0,6,
0.877,49,-3,0,-10,-1,-2,0,2,0,8,3,0,0,0,0,0,7,
0.894,50,-5,2,-6,0,-1,1,1,0,8,3,0,0,0,0,0,6,
0.910,51,-1,0,-3,0,1,2,2,1,11,4,0,0,0,0,0,6,
0.927,52,-2,1,-1,-1,5,4,4,5,10,3,0,0,0,0,0,7,
0.944,53,0,-1,-3,0,1,3,8,1,8,3,0,0,0,0,0,6,
0.960,54,2,0,-6,-2,2,4,6,-3,10,4,0,0,0,0,0,7,
0.977,55,3,-2,-3,-1,1,2,5,3,7,0,0,0,0,0,0,6,
0.994,56,4,-4,-2,0,0,1,7,4,5,4,0,0,0,0,0,6,
1.010,57,4,-2,-7,0,-1,1,8,3,11,1,0,0,0,0,0,7,
1.027,58,3,-2,-2,0,0,-1,3,1,8,-1,0,0,0,0,0,6,
1.044,59,1,-3,-1,-3,-1,-1,3,0,8,1,0,0,0,0,0,7,
1.060,60,0,0,-2,0,-3,1,9,0,6,2,0,0,0,0,0,6,
1.077,61,0,-7,-3,-2,-8,2,9,0,10,7,0,0,0,0,0,11,
2.510,62,-50,97,-152,-20,-174,291,440,216,334,194,0,0,0,0,0,419,
2.543,63,-1,20,-3,6,-6,-1,10,-1,12,3,0,0,0,0,0,13,
2.560,64,0,8,-2,0,-4,0,8,-2,1,0,0,0,0,0,0,6,
2.577,65,0,6,-4,0,-3,0,3,1,-5,0,0,0,0,0,0,6,
2.593,66,0,4,-1,0,0,0,-2,0,0,0,0,0,0,0,0,7,
2.610,67,0,2,-2,0,0,0,-4,-1,1,0,0,0,0,0,0,6,
2.627,68,0,5,-1,0,0,0,2,0,-11,0,0,0,0,0,0,7,
2.643,69,0,1,-1,0,-1,0,4,0,-15,0,0,0,0,0,0,6,
2.660,70,0,3,0,0,0,0,4,0,-11,0,0,0,0,0,0,6,
2.677,71,0,7,1,1,1,0,6,0,-4,0,0,0,0,0,0,7,
2.693,72,0,6,1,1,0,0,4,-1,-2,0,0,0,0,0,0,6,
2.710,73,-1,7,1,0,0,0,2,0,0,0,0,0,0,0,0,7,
2.727,74,0,4,0,0,0,0,2,0,-4,0,0,0,0,0,0,6,
2.743,75,0,4,1,0,0,0,1,0,-4,-1,0,0,0,0,0,6,
2.760,76,-1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7,
2.777,77,0,-2,2,0,0,0,5,0,-1,0,0,0,0,0,0,6,
2.793,78,0,3,0,-2,0,0,0,0,-5,0,0,0,0,0,0,6,
2.810,79,-1,2,0,-1,0,0,0,0,-6,0,0,0,0,0,0,7,
2.827,80,0,-4,0,-3,0,0,3,0,-5,0,0,0,0,0,0,6,
2.843,81,0,-5,0,-3,0,0,5,0,-4,0,0,0,0,0,0,7,
2.860,82,0,-1,0,-3,0,0,-1,0,1,0,0,0,0,0,0,6,
2.877,83,0,-3,0,-4,0,0,0,-1,1,0,0,0,0,0,0,6,
2.893,84,0,-1,0,-4,0,0,0,0,-1,0,0,0,0,0,0,7,
2.910,85,0,-5,0,-2,0,0,2,0,-1,0,0,0,0,0,0,6,
2.927,86,0,-2,0,-2,0,0,2,-1,1,0,0,0,0,0,0,7,
2.943,87,0,-3,0,-1,0,0,2,0,0,0,0,0,0,0,0,6,
2.960,88,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,
2.977,89,-1,-2,0,-1,0,0,1,-1,0,0,0,0,0,0,0,7,
2.993,90,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,
3.010,91,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,
3.027,92,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
3.043,93,0,-2,0,0,0,0,-2,0,0,0,0,0,0,0,0,6,
3.060,94,0,-2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,
3.077,95,0,-2,0,0,0,0,0,0,-1,0,0,0,0,0,0,6,
3.093,96,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,6,
3.110,97,0,-4,0,0,0,0,3,0,0,0,0,0,0,0,0,7,
