stimulus id,base,combination,secondary,mean,sem,pval_uncorrected,mean_abs,pval_corrected
8.0,S,S+S_ct,S_xt,-7.272104380939773,2.461930314509021,0.00815284161951298,7.272104380939773,0.029176324907925613
8.0,S,S+S_t,nan,-5.547199528457891,2.7837844410916404,0.07746102863691112,5.547199528457891,0.15492205727382224
8.0,S,S-S_c,S_xt,-7.272104380939773,2.420671291615066,0.007294081226981403,7.272104380939773,0.029176324907925613
8.0,S_c,S+S_t,nan,-0.38884632511653283,2.712127172210297,0.8891542156865191,0.38884632511653283,0.8891542156865191
9.0,S,S+S_ct,S_xc,-3.0383948433346815,1.3950109242652062,0.04577114614132863,3.0383948433346815,0.09154229228265726
9.0,S,S+S_t,S_xc,-10.405337971401723,1.8817357048770016,5.7757328194813925e-05,10.405337971401723,0.0002310293127792557
9.0,S,S-S_c,nan,-13.443732814736403,1.7438507001329704,0.00011536828899739814,13.443732814736403,0.0003461048669921944
9.0,S_t,S-S_c,nan,-7.3669431280670405,3.2012870916055665,0.054890372573210416,7.3669431280670405,0.09154229228265726
10.0,S,S+S_ct,S_xc,-2.237399883764775,2.1160151261670683,0.30707728936118933,2.237399883764775,1.0
10.0,S,S+S_t,S_xc,4.512540654421886,4.161477141481785,0.2953268958814096,4.512540654421886,1.0
10.0,S,S-S_c,nan,2.275140770657111,4.390567434915633,0.6202980286910169,2.275140770657111,1.0
10.0,S_t,S-S_c,nan,6.74994053818666,8.07230018259546,0.4306657699853801,6.74994053818666,1.0
11.0,S,S+S_ct,nan,0.9171255913244111,1.9221131830180822,0.6460216864280066,0.9171255913244111,1.0
11.0,S,S+S_t,S_xct,-1.5819311388840467,2.2349148060638213,0.4886449360684326,1.5819311388840467,1.0
11.0,S,S-S_c,S_xct,-1.581931138884047,1.6088896842461151,0.3392749545978315,1.581931138884047,1.0
11.0,S_c,S+S_ct,nan,6.2410141341217,3.4710015777819097,0.10988095586851296,6.2410141341217,0.43952382347405183
12.0,S,S+S_ct,nan,-2.4323495874461654,2.0862610730421363,0.27723939739978803,2.4323495874461654,1.0
12.0,S,S+S_t,S_xct,3.179193185446516,3.0696240372763466,0.31485345425336636,3.179193185446516,1.0
12.0,S,S-S_c,S_xct,3.1791931854465165,2.6874521015577844,0.2530990092102427,3.1791931854465165,1.0
12.0,S_c,S+S_ct,nan,2.4614477139457116,5.01675055986273,0.6368510656650939,2.4614477139457116,1.0
13.0,S,S+S_ct,S_c,-0.44012880462410386,3.045560182937172,0.8870177107066869,0.44012880462410386,1.0
13.0,S,S+S_t,S_c,-0.44012880462410386,3.123523770263821,0.8898176740330414,0.44012880462410386,1.0
13.0,S,S-S_c,S_t,1.9210759761928058,1.9688884450146136,0.34467929603843317,1.9210759761928058,1.0
14.0,S,S+S_ct,S_c,15.087170553521238,2.5147668045072162,2.4351550674398538e-05,15.087170553521238,5.681083986715254e-05
14.0,S,S+S_t,S_c,15.087170553521238,2.457436747174762,1.893694662238418e-05,15.087170553521238,5.681083986715254e-05
